# \kappa   m (fermion mass)        jackknife error         nmeas

"{/Symbol b} = 2.0"
  0.24200  0.1275296136631963E+00  0.3228256809898814E-02   1000
  0.24400  0.1147145297214983E+00  0.1925442704861901E-02   1000
  0.24600  0.9792323382028970E-01  0.3469750145128853E-02   1000
  0.24800  0.8154490841947608E-01  0.2857550391077488E-02   1000
  0.25000  0.6981852908334810E-01  0.2956051783119841E-02   1000
  0.25200  0.5197053601065117E-01  0.7281332850892015E-02   1000
  0.25400  0.3758054929836330E-01  0.2364811205060783E-02   1000
  0.25600  0.2100668067041613E-01  0.2056259525500840E-02   1000
  0.25800  0.4680406551502576E-02  0.8964333256375976E-03   1000
  0.26000 -0.1025272426184373E-01  0.9822420222542604E-03   1000
  0.26200 -0.2614289332193450E-01  0.1582351953650377E-02   1000
  0.26400 -0.4083326060212513E-01  0.2188467384517729E-02   1000
  0.26600 -0.5850431360727396E-01  0.5441666506484107E-02   1000
  0.26800 -0.7432858844569720E-01  0.3113460605713347E-02   1000
  0.27000 -0.8930632339580026E-01  0.3083450512479284E-02   1000
  0.27200 -0.1056287888691795E+00  0.3440525901596464E-02   1000
  0.27400 -0.1215478593615182E+00  0.3841347504159896E-02   1000
  0.27600 -0.1381154062269189E+00  0.3506550153696131E-02   1000
  0.27800 -0.1540674274932123E+00  0.3006752250334860E-02   1000
  0.28000 -0.1696359500247225E+00  0.3120027557616024E-02   1000
  0.28200 -0.1849050862913336E+00  0.3868400437084702E-02   1000
  0.28400 -0.2016559049013375E+00  0.3665494791860696E-02   1000
  0.28600 -0.2178550717234916E+00  0.3744931454162656E-02   1000
  0.28800 -0.2345947161533363E+00  0.3049046636130879E-02   1000
  0.29000 -0.2498210828564336E+00  0.3924529793644596E-02   1000
  0.29200 -0.2667724633532759E+00  0.3798285567402982E-02   1000
  0.29400 -0.2830136730856664E+00  0.3908458540651886E-02   1000
  0.29600 -0.2989161249202793E+00  0.4628687465601659E-02   1000
  0.29800 -0.3152527628428203E+00  0.4783833873392066E-02   1000
  0.30000 -0.3323902414563537E+00  0.4981375251014343E-02   1000

